ID_Cliente,ID_Territorio,ID_Bodega,ID_SKU,Familia_SKU,Cantidad_Facturada,Monto_Facturado $,Fecha_Pedido,Fecha_Entrega
01001,1,001,23001.0,,-1650.0,,2019-01-16,2019-01-19
01001,1,001,23001.0,,-14850.0,,2019-01-05,2019-01-07
01031,1,002,23003.0,,2500.0,,2019-01-03,2019-01-05
01031,1,002,23003.0,,1875.0,,2019-01-10,2019-01-13
01037,1,002,23003.0,,750.0,,2019-01-13,2019-01-16
01012,3,001,23002.0,,14850.0,,2019-01-11,2019-01-13
01022,3,001,23002.0,,8250.0,,2019-01-24,2019-01-29
01021,3,001,23006.0,,8250.0,,2019-01-03,2019-01-06
01021,3,001,23006.0,,6600.0,,2019-01-12,2019-01-17
01012,3,001,23002.0,,5550.0,,2019-01-24,2019-01-28
01003,3,001,23012.0,,3300.0,,2019-01-11,2019-01-16
01003,3,001,23014.0,,3300.0,,2019-01-06,2019-01-11
01030,3,001,23007.0,,3300.0,,2019-01-27,2019-01-31
01012,3,001,23002.0,,3300.0,,2019-01-19,2019-01-22
01021,3,001,23006.0,,3400.0,,2019-01-31,2019-02-03
01030,3,001,23011.0,,1650.0,,2019-01-22,2019-01-24
01003,3,001,23008.0,,1650.0,,2019-01-23,2019-01-28
01003,3,001,23003.0,,1650.0,,2019-01-28,2019-01-31
01021,3,001,23002.0,,1700.0,,2019-01-26,2019-01-28
01007,4,001,23005.0,,24750.0,,2019-01-05,2019-01-07
01011,4,001,23007.0,,14850.0,,2019-01-23,2019-01-26
01013,4,001,23005.0,,14850.0,,2019-01-24,2019-01-27
01013,4,001,23005.0,,13200.0,,2019-01-28,2019-02-01
01018,4,001,23006.0,,9900.0,,2019-01-12,2019-01-17
01018,4,001,23005.0,,10000.0,,2019-01-18,2019-01-21
01011,4,001,23005.0,,8250.0,,2019-01-11,2019-01-15
01013,4,001,23005.0,,6600.0,,2019-01-25,2019-01-29
01007,4,001,23005.0,,4950.0,,2019-01-15,2019-01-19
01018,4,001,23007.0,,3300.0,,2019-01-20,2019-01-25
01013,4,001,nan,,3300.0,,2019-01-02,2019-01-07
01018,4,001,23006.0,,3400.0,,2019-01-14,2019-01-16
01007,4,001,23006.0,,3300.0,,2019-01-26,2019-01-31
